cde_id	source	source_file	amp_variable	amp_variable_description	amp_value_set	amp_extended_definition_comments	amp_units	parked
184	AMP-PD	MDS_UPDRS_Part_I_dictionary.csv	mds_updrs_part_i_summary_score	MDS-UPDRS Part I Summary Score	0 - 48			false
185	AMP-PD	MDS_UPDRS_Part_II_dictionary.csv	mds_updrs_part_ii_primary_info_source	MDS-UPDRS Part II Primary Source Of Information	Patient | Patient and Caregiver - Equal Proportion | Caregiver			false
186	AMP-PD	MDS_UPDRS_Part_II_dictionary.csv	mds_updrs_part_ii_summary_score	MDS-UPDRS Part II Summary Score	0 - 52			false
187	AMP-PD	MDS_UPDRS_Part_III_dictionary.csv	mds_updrs_part_iii_summary_score	MDS-UPDRS Part III Summary Score	0 - 132			false
188	AMP-PD	MDS_UPDRS_Part_IV_dictionary.csv	mds_updrs_part_iv_summary_score	MDS-UPDRS Part IV Summary Score	0 - 24			false
189	AMP-PD	LBD_Cohort_Clinical_Data_dictionary.csv	memory_loss	Memory loss	Yes | No | NA			false
190	AMP-PD	MMSE_dictionary.csv	mms101a_year	MMSE - What Is The Year (MMS101A)	Correct | Incorrect			false
191	AMP-PD	MMSE_dictionary.csv	mms101b_season	MMSE - What Is The Season (MMS101B)	Correct | Incorrect			false
192	AMP-PD	MMSE_dictionary.csv	mms101c_month	MMSE - What Is The Month Of Year (MMS101C)	Correct | Incorrect			false
193	AMP-PD	MMSE_dictionary.csv	mms101d_day	MMSE - What Is the Day of Week (MMS101D)	Correct | Incorrect			false
194	AMP-PD	MMSE_dictionary.csv	mms101e_date	MMSE - What Is The Date (MMS101E)	Correct | Incorrect			false
195	AMP-PD	MMSE_dictionary.csv	mms102a_state	MMSE - What Is The State (MMS102A)	Correct | Incorrect			false
196	AMP-PD	MMSE_dictionary.csv	mms102b_county	MMSE - What Is The County (MMS102B)	Correct | Incorrect			false
197	AMP-PD	MMSE_dictionary.csv	mms102c_city	MMSE - What Is The City Or Town (MMS102C)	Correct | Incorrect			false
198	AMP-PD	MMSE_dictionary.csv	mms102d_address	MMSE - What Is The Building (MMS102D)	Correct | Incorrect			false
199	AMP-PD	MMSE_dictionary.csv	mms102e_floor	MMSE - What Is The Floor (MMS102E)	Correct | Incorrect			false
200	AMP-PD	MMSE_dictionary.csv	mms103_repeat_objects_score	MMSE - Repeat Three Unrelated Objects Score: MMSE - Repeat Word 1 (MMS103A), MMSE - Repeat Word 2 (103B), MMSE - Repeat Word 3 (103C) (1 point for each correct answer)	0 - 3			false
201	AMP-PD	MMSE_dictionary.csv	mms104_attention_calculat_score	MMSE - Attention and Calculation Subtotal (MMS104)	0 - 5			false
202	AMP-PD	MMSE_dictionary.csv	mms105_recall_score	MMSE - Recall Score - Repeat Three Unrelated Objects Again: MMSE - Recall Word 1 (MMS105A), MMSE - Recall Word 2 (MMS105B), MMSE - Recall Word 3 (MMS105C)	0 - 3			false
203	AMP-PD	MMSE_dictionary.csv	mms106_naming_object_score	MMSE - Naming Object 1 (MMS106A), MMSE - Naming Object 2 (MMS106B)	0 - 2			false
204	AMP-PD	MMSE_dictionary.csv	mms107_repeat_phrase_score	MMSE - Repeat What I Say (MMS107)	0 - 1			false
205	AMP-PD	MMSE_dictionary.csv	mms108b_fold_in_half_score	MMSE - Fold In Half (MMS108B)	0 - 3			false
206	AMP-PD	MMSE_dictionary.csv	mms109_close_eyes_score	MMSE - Read This And Do What It Says (MMS109)	0 - 3			false
207	AMP-PD	MMSE_dictionary.csv	mms110_sentence_score	MMSE - Write A Sentence (MMS110)	0 - 1			false
208	AMP-PD	MMSE_dictionary.csv	mms111_copy_design_score	MMSE - Copy This Design (MMS111)	0 - 1			false
209	AMP-PD	MMSE_dictionary.csv	mms112_total_score	MMSE - Total Score (MMS112)	13 - 30			false
210	AMP-PD	LBD_Cohort_Clinical_Data_dictionary.csv	mmse	Last MMSE	[0-30] | NA			false
211	AMP-PD	MOCA_dictionary.csv	moca01_alternating_trail_making	MOCA: 01. Alternating Trail Making	0 - 1			false
212	AMP-PD	MOCA_dictionary.csv	moca02_visuoconstr_skills_cube	MOCA: 02. Visuoconstructional Skills - Copy Cube	0 - 1			false
213	AMP-PD	MOCA_dictionary.csv	moca03_visuoconstr_skills_clock_cont	MOCA: 03. Visuoconstructional Skills - Draw Clock Contour	0 - 1			false
214	AMP-PD	MOCA_dictionary.csv	moca04_visuoconstr_skills_clock_num	MOCA: 04. Visuoconstructional Skills - Draw Clock Numbers	0 - 1			false
215	AMP-PD	MOCA_dictionary.csv	moca05_visuoconstr_skills_clock_hands	MOCA: 05. Visuoconstructional Skills - Draw Clock Hands	0 - 1			false
216	AMP-PD	MOCA_dictionary.csv	moca06_naming_lion	MOCA: 06. Naming - Lion	0 - 1			false
217	AMP-PD	MOCA_dictionary.csv	moca07_naming_rhino	MOCA: 07. Naming - Rhino	0 - 1			false
218	AMP-PD	MOCA_dictionary.csv	moca08_naming_camel	MOCA: 08. Naming - Camel	0 - 1			false
219	AMP-PD	MOCA_dictionary.csv	moca09_attention_forward_digit_span	MOCA: 09. Attention - Forward Digit Span	0 - 1			false
220	AMP-PD	MOCA_dictionary.csv	moca10_attention_backward_digit_span	MOCA: 10. Attention - Backward Digit Span	0 - 1			false
221	AMP-PD	MOCA_dictionary.csv	moca11_attention_vigilance	MOCA: 11. Attention - Vigilance	0 - 1			false
222	AMP-PD	MOCA_dictionary.csv	moca12_attention_serial_7s	MOCA: 12. Attention - Serial 7s	0 - 3			false
223	AMP-PD	MOCA_dictionary.csv	moca13_sentence_repetition	MOCA: 13. Sentence Repetition	0 - 2			false
224	AMP-PD	MOCA_dictionary.csv	moca14_verbal_fluency_number_of_words	MOCA: 14. Verbal Fluency - Number Of Words	0 - 43			false
225	AMP-PD	MOCA_dictionary.csv	moca15_verbal_fluency	MOCA: 15. Verbal Fluency	0 - 1			false
226	AMP-PD	MOCA_dictionary.csv	moca16_abstraction	MOCA: 16. Abstraction	0 - 2			false
227	AMP-PD	MOCA_dictionary.csv	moca17_delayed_recall_face	MOCA: 17. Delayed Recall - Face	0 - 1			false
228	AMP-PD	MOCA_dictionary.csv	moca18_delayed_recall_velvet	MOCA: 18. Delayed Recall - Velvet	0 - 1			false
229	AMP-PD	MOCA_dictionary.csv	moca19_delayed_recall_church	MOCA: 19. Delayed Recall - Church	0 - 1			false
230	AMP-PD	MOCA_dictionary.csv	moca20_delayed_recall_daisy	MOCA: 20. Delayed Recall - Daisy	0 - 1			false
231	AMP-PD	MOCA_dictionary.csv	moca21_delayed_recall_red	MOCA: 21. Delayed Recall - Red	0 - 1			false
232	AMP-PD	MOCA_dictionary.csv	moca22_orientation_date_score	MOCA: 22. Orientation - Date Score	0 - 1			false
233	AMP-PD	MOCA_dictionary.csv	moca23_orientation_month_score	MOCA: 23. Orientation - Month Score	0 - 1			false
234	AMP-PD	MOCA_dictionary.csv	moca24_orientation_year_score	MOCA: 24. Orientation - Year Score	0 - 1			false
235	AMP-PD	MOCA_dictionary.csv	moca25_orientation_day_score	MOCA: 25. Orientation - Day Score	0 - 1			false
236	AMP-PD	MOCA_dictionary.csv	moca26_orientation_place_score	MOCA: 26. Orientation - Place Score	0 - 1			false
237	AMP-PD	MOCA_dictionary.csv	moca27_orientation_city_score	MOCA: 27. Orientation - City Score	0 - 1			false
238	AMP-PD	MOCA_dictionary.csv	moca_abstraction_subscore	MOCA: Abstraction subscore is the same as abstraction test - serial language abstraction points earned	0 - 2			false
239	AMP-PD	MOCA_dictionary.csv	moca_attention_digits_subscore	MOCA: Attention Forward-Backward Repeat Lists Of Digits Subscore	0 - 2			false
240	AMP-PD	MOCA_dictionary.csv	moca_delayed_recall_subscore	MOCA: Delayed Recall Subscore Uncued	0 - 5			false
241	AMP-PD	MOCA_dictionary.csv	moca_delayed_recall_subscore_optnl_cat_cue	MOCA: Delayed Recall Subscore Optional Category Cue	0 - 5			false
242	AMP-PD	MOCA_dictionary.csv	moca_delayed_recall_subscore_optnl_mult_choice	MOCA: Delayed Recall Subscore Optional Multiple Choice Cue	0 - 5			false
243	AMP-PD	MOCA_dictionary.csv	moca_language_subscore	MOCA: Language Subscore	0 - 3			false
244	AMP-PD	MOCA_dictionary.csv	moca_naming_subscore	MOCA: Naming Subscore	0 - 3			false
245	AMP-PD	MOCA_dictionary.csv	moca_orientation_subscore	MOCA: Orientation Subscore	0 - 6			false
246	AMP-PD	MOCA_dictionary.csv	moca_total_score	MOCA Total Score	0 - 31			false
247	AMP-PD	MOCA_dictionary.csv	moca_visuospatial_executive_subscore	MOCA: Visuospatial And Executive Subscore	0 - 5			false
249	AMP-PD	Modified_Schwab___England_ADL_dictionary.csv	mod_schwab_england_pct_adl_score	Modified Schwab And England Percent ADL Score	0 - 100			false
250	AMP-PD	LBD_Cohort_Clinical_Data_dictionary.csv	mood_dis	Mood disorder (depression and/or anxiety)	Yes | No | NA			false
252	AMP-PD	MRI_dictionary.csv	mri_results	MRI results	Abnormal, not clinically significant | Normal | Abnormal, clinically significant			false
253	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Mayo_dictionary.csv	msq01_act_out_dreams	MSQ Act Out Dreams Q1	No | Yes			false
254	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Mayo_dictionary.csv	msq01a_act_out_months	MSQ Act Out Months Q1a	0 - 2000			false
255	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Mayo_dictionary.csv	msq01a_act_out_years	MSQ Act Out Years Q1a	0 - 99			false
256	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Mayo_dictionary.csv	msq01b_patient_injured	MSQ Patient injured Q1b	No | Yes			false
257	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Mayo_dictionary.csv	msq01c_bedpartner_injured	MSQ Bedpartner Injured Q1c	Yes | No | No bedpartner			false
258	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Mayo_dictionary.csv	msq01d_told_dreams	MSQ Told Dreams Q1d	Yes | No | Never told you about dreams			false
259	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Mayo_dictionary.csv	msq01e_dream_details_match	MSQ Dream Details Match Q1e	Yes | No | Never told you about dreams			false
260	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Mayo_dictionary.csv	msq02_legs_jerk	MSQ Legs Jerk Q2	No | Yes			false
261	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Mayo_dictionary.csv	msq03_restless_legs	MSQ Restless Legs Q3	No | Yes			false
262	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Mayo_dictionary.csv	msq03a_leg_sensations_decrease	MSQ Leg Sensations Decrease Q3a	No | Yes			false
263	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Mayo_dictionary.csv	msq03b_time_leg_sensations_worst	MSQ Time Leg Sensations Worst Q3b	After 6pm | Before 6pm			false
264	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Mayo_dictionary.csv	msq04b_walked_asleep	MSQ Walked Asleep Q4	No | Yes			false
265	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Mayo_dictionary.csv	msq05_snorted_awake	MSQ Snorted Awake Q5	No | Yes			false
266	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Mayo_dictionary.csv	msq06_stop_breathing	MSQ Stop Breathing Q6	No | Yes			false
267	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Mayo_dictionary.csv	msq06a_treated_for_stop_breathing	MSQ Treated For Stop Breathing Q6a	No | Yes			false
268	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Mayo_dictionary.csv	msq07_leg_cramps	MSQ Leg Cramps Q7	No | Yes			false
269	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Mayo_dictionary.csv	msq08_rate_of_alertness	MSQ Rate Of Alertness Q8	0 - 10			false
270	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Mayo_dictionary.csv	msq_distracting_sleep_behaviors	MSQ Distracting sleep behaviors	No | Yes			false
271	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Mayo_dictionary.csv	msq_info_source	MSQ Source Of Information	Subject | Informant			false
272	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Mayo_dictionary.csv	msq_interviewee_live_with_subject	MSQ Live With Subject	No | Yes			false
273	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Mayo_dictionary.csv	msq_interviewee_sleep_same_room	MSQ Sleep in the same room	No | Yes			false
274	AMP-PD	LBD_Cohort_Clinical_Data_dictionary.csv	neurolep_sens	Neuroleptic sensitivity	Yes | No | NA			false
275	AMP-PD	PD_Medical_History_dictionary.csv	on_dopamine_agonist	Is Subject Taking A Dopamine Agonist?	No | Yes | Unknown			false
276	AMP-PD	PD_Medical_History_dictionary.csv	on_levodopa	Is Subject Taking Levodopa?	No | Yes | Unknown			false
277	AMP-PD	PD_Medical_History_dictionary.csv	on_other_pd_medications	Is Subject Taking Some Other PD Medication(s)?	No | Yes | Unknown			false
278	AMP-PD	Family_History_PD_dictionary.csv	other_relative_with_pd	Other Relative Has Or Had Parkinson's Disease	No | Yes | Unknown			false
279	AMP-PD	LBD_Cohort_Clinical_Data_dictionary.csv	parkinsonism	Parkinsonism on clinical examination	Yes | No | NA			false
280	AMP-PD	Caffeine_history_dictionary.csv; DTI_dictionary.csv; DaTSCAN_SBR_dictionary.csv; DaTSCAN_visual_interpretation_dictionary.csv; Demographics_dictionary.csv; Enrollment_dictionary.csv; Epworth_Sleepiness_Scale_dictionary.csv; Family_History_PD_dictionary.csv; LBD_Cohort_Clinical_Data_dictionary.csv; LBD_Cohort_Path_Data_dictionary.csv; MDS_UPDRS_Part_III_dictionary.csv; MDS_UPDRS_Part_II_dictionary.csv; MDS_UPDRS_Part_IV_dictionary.csv; MDS_UPDRS_Part_I_dictionary.csv; MMSE_dictionary.csv; MOCA_dictionary.csv; MRI_dictionary.csv; Modified_Schwab___England_ADL_dictionary.csv; PDQ_39_dictionary.csv; PD_Medical_History_dictionary.csv; REM_Sleep_Behavior_Disorder_Questionnaire_Mayo_dictionary.csv; REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster_dictionary.csv; Smoking_and_alcohol_history_dictionary.csv; UPDRS_dictionary.csv; UPSIT_dictionary.csv	participant_id	Study Subject ID				false
281	AMP-PD	LBD_Cohort_Path_Data_dictionary.csv	path_braak_lb	BRAAK stage for Lewy body pathology	0 | 1 | 2 | 3 | 4 | 5 | 6 | NA			false
282	AMP-PD	LBD_Cohort_Path_Data_dictionary.csv	path_braak_nft	BRAAK stage for neurofibrillary tangle pathology	0 | 1 | 2 | 3 | 4 | 5 | 6 | NA			false
283	AMP-PD	LBD_Cohort_Path_Data_dictionary.csv	path_cerad	CERAD scoreś	0 | A | B | C | NA			false
284	AMP-PD	LBD_Cohort_Path_Data_dictionary.csv	path_dlb_prob	Likelihood of DLB based on McKeith criteria	Low Likelihood | Intermediate Likelihood | High Likelihood | NA			false
285	AMP-PD	PD_Medical_History_dictionary.csv	pd_diagnosis_months_after_baseline	Number of months after baseline visit at which Parkinson's Disease Diagnosis occurred; negative values indicate Parkinson's Disease Diagnosis occurred before baseline				false
286	AMP-PD	PD_Medical_History_dictionary.csv	pd_medication_initiation_months_after_baseline	Number of months after baseline visit at which PD Medication Initiation occurred; negative values indicate PD Medication Initiation occurred before baseline				false
287	AMP-PD	PD_Medical_History_dictionary.csv	pd_medication_recent_use_months_after_baseline	Number of months after baseline visit at which Most Recent Use of PD Medication occurred; negative values indicate Most Recent Use of PD Medication occurred before baseline				false
288	AMP-PD	PD_Medical_History_dictionary.csv	pd_medication_start_months_after_baseline	Number of months after baseline visit at which PD Medication Start occurred; negative values indicate PD Medication Start occurred before baseline				false
289	AMP-PD	PDQ_39_dictionary.csv	pdq39_01_doing_leisure_activity	PDQ-39-Q1: Had difficulty doing the leisure activities you would like to do?	Never | Occasionally | Often | Sometimes | Always or cannot do at all			false
290	AMP-PD	PDQ_39_dictionary.csv	pdq39_02_looking_after_home	PDQ-39-Q2: Had difficulty looking after your home, for example, housework, cooking or yardwork?	Never | Occasionally | Often | Sometimes | Always or cannot do at all			false
291	AMP-PD	PDQ_39_dictionary.csv	pdq39_03_carrying_shopping_bags	PDQ-39-Q3: Had difficulty carrying grocery bags?	Never | Occasionally | Often | Sometimes | Always or cannot do at all			false
292	AMP-PD	PDQ_39_dictionary.csv	pdq39_04_walking_half_mile	PDQ-39-Q4: Had problems walking half a mile?	Never | Occasionally | Often | Sometimes | Always or cannot do at all			false
293	AMP-PD	PDQ_39_dictionary.csv	pdq39_05_walking_100_yards	PDQ-39-Q5: Had problems walking 100 yards (approximately 1 block)?	Never | Occasionally | Often | Sometimes | Always or cannot do at all			false
294	AMP-PD	PDQ_39_dictionary.csv	pdq39_06_getting_around_house	PDQ-39-Q6: Had problems getting around the house as easily as you would like?	Never | Occasionally | Often | Sometimes | Always or cannot do at all			false
295	AMP-PD	PDQ_39_dictionary.csv	pdq39_07_getting_around_in_public	PDQ-39-Q7: Had difficulty getting around in public places?	Never | Occasionally | Often | Sometimes | Always or cannot do at all			false
296	AMP-PD	PDQ_39_dictionary.csv	pdq39_08_need_someone_to_accompany	PDQ-39-Q8: Needed someone else to accompany you when you went out?	Never | Occasionally | Often | Sometimes | Always or cannot do at all			false
297	AMP-PD	PDQ_39_dictionary.csv	pdq39_09_worried_about_falling	PDQ-39-Q9: Felt frightened or worried about falling in public?	Never | Occasionally | Often | Sometimes | Always or cannot do at all			false
298	AMP-PD	PDQ_39_dictionary.csv	pdq39_10_confined_to_house	PDQ-39-Q10: Been confined to the house more than you would like?	Never | Occasionally | Often | Sometimes | Always or cannot do at all			false
299	AMP-PD	PDQ_39_dictionary.csv	pdq39_11_showering	PDQ-39-Q11: Had difficulty showering and bathing?	Never | Occasionally | Often | Sometimes | Always or cannot do at all			false
300	AMP-PD	PDQ_39_dictionary.csv	pdq39_12_dressing	PDQ-39-Q12: Had difficulty dressing?	Never | Occasionally | Often | Sometimes | Always or cannot do at all			false
301	AMP-PD	PDQ_39_dictionary.csv	pdq39_13_buttons_and_shoelaces	PDQ-39-Q13: Had difficulty with buttons or shoelaces?	Never | Occasionally | Often | Sometimes | Always or cannot do at all			false
302	AMP-PD	PDQ_39_dictionary.csv	pdq39_14_writing	PDQ-39-Q14: Had problems writing clearly?	Never | Occasionally | Often | Sometimes | Always or cannot do at all			false
303	AMP-PD	PDQ_39_dictionary.csv	pdq39_15_cutting_food	PDQ-39-Q15: Had difficulty cutting up your food?	Never | Occasionally | Often | Sometimes | Always or cannot do at all			false
304	AMP-PD	PDQ_39_dictionary.csv	pdq39_16_spill_drink	PDQ-39-Q16: Had difficulty holding a drink without spilling it?	Never | Occasionally | Often | Sometimes | Always or cannot do at all			false
305	AMP-PD	PDQ_39_dictionary.csv	pdq39_17_depressed	PDQ-39-Q17: Felt depressed?	Never | Occasionally | Often | Sometimes | Always or cannot do at all			false
306	AMP-PD	PDQ_39_dictionary.csv	pdq39_18_lonely	PDQ-39-Q18: Felt isolated and lonely?	Never | Occasionally | Often | Sometimes | Always or cannot do at all			false
307	AMP-PD	PDQ_39_dictionary.csv	pdq39_19_weepy	PDQ-39-Q19: Felt weepy or tearful?	Never | Occasionally | Often | Sometimes | Always or cannot do at all			false
308	AMP-PD	PDQ_39_dictionary.csv	pdq39_20_angry	PDQ-39-Q20: Felt angry or bitter?	Never | Occasionally | Often | Sometimes | Always or cannot do at all			false
309	AMP-PD	PDQ_39_dictionary.csv	pdq39_21_anxious	PDQ-39-Q21: Felt anxious?	Never | Occasionally | Often | Sometimes | Always or cannot do at all			false
310	AMP-PD	PDQ_39_dictionary.csv	pdq39_22_worried_about_future	PDQ-39-Q22: Felt worried about your future?	Never | Occasionally | Often | Sometimes | Always or cannot do at all			false
311	AMP-PD	PDQ_39_dictionary.csv	pdq39_23_hide_pd_from_people	PDQ-39-Q23: Felt you had to hide your Parkinson's from people?	Never | Occasionally | Often | Sometimes | Always or cannot do at all			false
312	AMP-PD	PDQ_39_dictionary.csv	pdq39_24_avoid_eat_drink_in_public	PDQ-39-Q24: Avoided situations which involve eating or drinking in public?	Never | Occasionally | Often | Sometimes | Always or cannot do at all			false
313	AMP-PD	PDQ_39_dictionary.csv	pdq39_25_embarassed_in_public	PDQ-39-Q25: Felt embarrassed in public?	Never | Occasionally | Often | Sometimes | Always or cannot do at all			false
314	AMP-PD	PDQ_39_dictionary.csv	pdq39_26_worried_about_reactions	PDQ-39-Q26: Felt worried about other people's reaction to you?	Never | Occasionally | Often | Sometimes | Always or cannot do at all			false
315	AMP-PD	PDQ_39_dictionary.csv	pdq39_27_close_personal_relations	PDQ-39-Q27: Had problems with your close personal relationships?	Never | Occasionally | Often | Sometimes | Always or cannot do at all			false
316	AMP-PD	PDQ_39_dictionary.csv	pdq39_28_support_from_spouse	PDQ-39-Q28: Lacked the support you needed from your spouse or partner?	Never | Occasionally | Often | Sometimes | Always or cannot do at all			false
317	AMP-PD	PDQ_39_dictionary.csv	pdq39_29_support_from_family	PDQ-39-Q29: Lacked the support you needed from your family or close friends?	Never | Occasionally | Often | Sometimes | Always or cannot do at all			false
318	AMP-PD	PDQ_39_dictionary.csv	pdq39_30_sleep_in_day	PDQ-39-Q30: Unexpectedly fallen asleep during the day?	Never | Occasionally | Often | Sometimes | Always or cannot do at all			false
319	AMP-PD	PDQ_39_dictionary.csv	pdq39_31_problem_with_concentration	PDQ-39-Q31: Had problems with your concentration, for example when reading or watching TV?	Never | Occasionally | Often | Sometimes | Always or cannot do at all			false
320	AMP-PD	PDQ_39_dictionary.csv	pdq39_32_memory_is_failing	PDQ-39-Q32: Felt your memory was failing?	Never | Occasionally | Often | Sometimes | Always or cannot do at all			false
321	AMP-PD	PDQ_39_dictionary.csv	pdq39_33_hallucinations	PDQ-39-Q33: Had distressing dreams or hallucinations?	Never | Occasionally | Often | Sometimes | Always or cannot do at all			false
322	AMP-PD	PDQ_39_dictionary.csv	pdq39_34_speaking	PDQ-39-Q34: Had difficulty speaking?	Never | Occasionally | Often | Sometimes | Always or cannot do at all			false
323	AMP-PD	PDQ_39_dictionary.csv	pdq39_35_unable_to_communicate	PDQ-39-Q35: Felt unable to communicate effectively?	Never | Occasionally | Often | Sometimes | Always or cannot do at all			false
324	AMP-PD	PDQ_39_dictionary.csv	pdq39_36_felt_ignored	PDQ-39-Q36: Felt ignored by people?	Never | Occasionally | Often | Sometimes | Always or cannot do at all			false
325	AMP-PD	PDQ_39_dictionary.csv	pdq39_37_muscle_cramps	PDQ-39-Q37: Had painful muscle cramps or spasms?	Never | Occasionally | Often | Sometimes | Always or cannot do at all			false
326	AMP-PD	PDQ_39_dictionary.csv	pdq39_38_joint_pains	PDQ-39-Q38: Had aches and pains in your joints or body?	Never | Occasionally | Often | Sometimes | Always or cannot do at all			false
327	AMP-PD	PDQ_39_dictionary.csv	pdq39_39_hot_or_cold	PDQ-39-Q39: Felt uncomfortably hot or cold?	Never | Occasionally | Often | Sometimes | Always or cannot do at all			false
328	AMP-PD	PDQ_39_dictionary.csv	pdq39_adl_score	PDQ-39-Total Score-Activities Of Daily Living (ADL)	0 - 100			false
329	AMP-PD	PDQ_39_dictionary.csv	pdq39_cognition_score	PDQ-39-Total Score-Cognitive Impairment (Cognitions)	0 - 100			false
330	AMP-PD	PDQ_39_dictionary.csv	pdq39_communication_score	PDQ-39-Total Score-Communication	0 - 100			false
331	AMP-PD	PDQ_39_dictionary.csv	pdq39_discomfort_score	PDQ-39-Total Score-Bodily Discomfort	0 - 100			false
332	AMP-PD	PDQ_39_dictionary.csv	pdq39_emotional_score	PDQ-39-Total Score-Emotional Well Being	0 - 100			false
333	AMP-PD	PDQ_39_dictionary.csv	pdq39_mobility_score	PDQ-39-Total Score-Mobility	0 - 100			false
334	AMP-PD	PDQ_39_dictionary.csv	pdq39_social_score	PDQ-39-Total Score-Social Support	0 - 100			false
335	AMP-PD	PDQ_39_dictionary.csv	pdq39_stigma_score	PDQ-39-Total Score-Stigma	0 - 100			false
336	AMP-PD	LBD_Cohort_Clinical_Data_dictionary.csv	pres_symptom	Presenting symptom	Cognitive symptoms | Motor symptoms | Both cognitive and motor symptoms | Psychiatric (depression/anxiety/psychosis) | NA			false
338	AMP-PD	LBD_Cohort_Clinical_Data_dictionary.csv	psychosis	Psychotic thought disorder	Yes | No | NA			false
339	AMP-PD	Demographics_dictionary.csv; DiverseCohorts_DataDictionary.pdf	race	Race	White | Black or African American | Native Hawaiian or Other Pacific Islander | Asian | American Indian or Alaska Native | Unknown | Multiracial			false
340	AMP-PD	LBD_Cohort_Clinical_Data_dictionary.csv	rbd	REM-sleep behavior disorder (per history or polysomnogram)	Yes | No | NA			false
341	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster_dictionary.csv	rbd01_vivid_dreams	RBD 01. Vivid Dreams	No | Yes			false
342	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster_dictionary.csv	rbd02_aggressive_or_action_packed_dreams	RBD 02. Aggressive Or Action-Packed Dreams	No | Yes			false
343	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster_dictionary.csv	rbd03_nocturnal_behaviour	RBD 03. Nocturnal Behaviour	No | Yes			false
344	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster_dictionary.csv	rbd04_move_arms_legs_during_sleep	RBD 04. Move Arms and Legs During Sleep	No | Yes			false
345	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster_dictionary.csv	rbd05_hurt_bed_partner	RBD 05. Hurt Bed Partner	No | Yes			false
346	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster_dictionary.csv	rbd06_1_speaking_in_sleep	RBD 06.1 Speaking In Sleep	No | Yes			false
347	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster_dictionary.csv	rbd06_2_sudden_limb_movements	RBD 06.2 Sudden Limb Movements	No | Yes			false
348	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster_dictionary.csv	rbd06_3_complex_movements	RBD 06.3 Complex Movements	No | Yes			false
349	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster_dictionary.csv	rbd06_4_things_fell_down	RBD 06.4 Things Fell Down	No | Yes			false
350	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster_dictionary.csv	rbd07_my_movements_awake_me	RBD 07. My Movements Awake Me	No | Yes			false
351	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster_dictionary.csv	rbd08_remember_dreams	RBD 08. Remember Dreams	No | Yes			false
352	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster_dictionary.csv	rbd09_sleep_is_disturbed	RBD 09. Sleep Is Disturbed	No | Yes			false
353	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster_dictionary.csv	rbd10_nervous_system_disease	RBD 10. Nervous system Disease	No | Yes			false
354	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster_dictionary.csv	rbd10a_stroke	RBD 10a Stroke	No | Yes			false
355	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster_dictionary.csv	rbd10b_head_trauma	RBD 10b Head Trauma	No | Yes			false
356	AMP-PD	REM_Sleep_Behavior_Disorder_Questionnaire_Stiasny_Kolster_dictionary.csv	rbd10c_parkinsonism	RBD 10c Parkinsonism	No | Yes			false
